tx_price,beds,baths,sqft,year_built,lot_size,property_type,exterior_walls,roof,basement,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,property_tax,insurance,median_school,num_schools,tx_year,school_score,Age
216500,1,1,612,1965,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,105,15,6,13,87,2,26,14,39,73,69,169,51,3,3,2006,9,41
210000,1,1,680,1963,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,8,1,0,3,10,1,10,10,60,15,63,147,44,4,3,2006,12,43
218000,1,1,689,1988,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,150,6,20,27,329,12,83,46,32,33,92,188,57,10,3,2009,30,21
226000,1,1,690,1997,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,60,3,9,15,156,3,30,12,36,47,83,221,67,8,3,2008,24,11
363700,1,1,692,2007,0,Apartment / Condo / Townhouse,Brick,,0,180,14,37,34,104,13,72,68,36,25,75,302,104,8,3,2007,24,0
215000,1,1,698,1963,0,Apartment / Condo / Townhouse,Brick,,0,31,6,5,8,32,2,19,14,32,60,47,120,42,7,3,2005,21,42
327000,1,1,698,2005,9686,Apartment / Condo / Townhouse,Concrete Block,,0,146,7,22,20,79,10,49,74,27,21,94,256,88,9,3,2010,27,5
331100,1,1,700,2005,9686,Apartment / Condo / Townhouse,Concrete Block,,0,146,7,22,20,79,10,49,74,27,21,94,251,87,9,3,2012,27,7
240000,1,1,703,1992,0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1,82,6,7,8,45,6,52,13,30,46,36,139,42,7,3,2005,21,13
320000,1,1,704,2005,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,99,8,8,11,103,4,47,34,31,30,99,261,79,8,3,2007,24,2
290800,1,1,704,2006,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,99,9,8,11,103,4,46,34,31,30,99,257,78,8,3,2006,24,0
375000,1,1,705,1985,0,Apartment / Condo / Townhouse,Brick,,0,182,10,31,25,103,10,63,83,33,21,99,244,85,9,3,2005,27,20
377000,1,1,709,2005,111513,Apartment / Condo / Townhouse,Wood Siding,,0,213,13,44,30,108,11,91,88,33,40,96,316,109,5,3,2008,15,3
262500,1,1,711,1944,0,Apartment / Condo / Townhouse,Brick,,0,51,9,6,2,43,18,35,42,36,49,77,201,69,6,3,2014,18,70
216250,1,1,712,1944,0,Single-Family,Brick,,0,53,13,7,3,43,19,43,41,36,23,90,187,64,6,3,2004,18,60
270000,1,1,722,1985,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,101,8,8,11,74,4,30,26,33,48,85,218,66,4,3,2005,12,20
235000,1,1,723,2005,0,Apartment / Condo / Townhouse,Stucco,Other,1,102,8,8,11,103,4,47,34,31,30,99,278,85,8,3,2009,24,4
225000,1,1,724,1958,0,Apartment / Condo / Townhouse,Brick,,0,122,11,27,25,183,12,69,36,57,13,83,118,41,6,3,2009,18,51
370000,1,1,725,2006,0,Apartment / Condo / Townhouse,Wood Siding,,0,198,9,38,26,127,11,72,83,36,25,91,306,106,9,3,2011,27,5
232000,1,1,736,1998,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,31,3,7,8,77,1,14,11,36,47,83,243,74,8,3,2008,24,10
281900,1,1,737,2000,0,Apartment / Condo / Townhouse,Brick,,1,109,9,7,17,97,5,38,31,32,34,50,229,69,4,3,2005,12,5
355000,1,1,740,2000,0,Apartment / Condo / Townhouse,Brick,,0,201,11,40,28,131,10,73,85,36,25,91,298,103,9,3,2006,27,6
350000,1,1,741,2006,0,Apartment / Condo / Townhouse,Wood Siding,,0,198,9,38,26,127,11,72,83,36,25,91,291,101,9,3,2009,27,3
231900,1,1,750,1964,0,Apartment / Condo / Townhouse,Brick,,0,100,8,9,10,85,9,81,28,35,63,70,118,41,7,3,2005,21,41
